y_pred,y_real,type,fecha,producto,modelo
11277.055,10142.0,train,2019-12-20,1,ALL
11635.07,8902.0,train,2019-12-21,1,ALL
3612.77,3643.0,train,2019-12-26,1,ALL
10182.005,11331.0,train,2019-12-27,1,ALL
11602.31,14018.0,train,2019-12-28,1,ALL
4917.105,4716.0,train,2019-12-30,1,ALL
8105.87,9037.0,train,2019-12-31,1,ALL
3138.055,2836.0,train,2020-01-02,1,ALL
7077.425,7810.0,train,2020-01-03,1,ALL
4944.175,1453.0,train,2020-01-04,1,ALL
3282.11,3934.0,train,2020-01-08,1,ALL
4482.46,2564.0,train,2020-01-10,1,ALL
8828.17,9502.0,train,2020-01-11,1,ALL
2895.025,2642.0,train,2020-01-15,1,ALL
1612.72,1337.0,train,2020-01-16,1,ALL
7124.865,7054.0,train,2020-01-17,1,ALL
11500.285,14657.0,train,2020-01-18,1,ALL
4239.34,4735.0,train,2020-01-20,1,ALL
6644.675,5943.0,train,2020-01-21,1,ALL
2053.16,2325.0,train,2020-01-23,1,ALL
11251.68,14800.0,train,2020-01-24,1,ALL
21897.775,24722.0,train,2020-01-27,1,ALL
30326.13,38314.0,train,2020-01-28,1,ALL
44178.395,50827.0,train,2020-01-29,1,ALL
1943.775,1828.0,train,2020-01-30,1,ALL
6983.715,4541.0,train,2020-01-31,1,ALL
11983.595,12765.0,train,2020-02-01,1,ALL
4365.275,2842.0,train,2020-02-03,1,ALL
3877.315,2300.0,train,2020-02-04,1,ALL
10427.015,10607.0,train,2020-02-05,1,ALL
2189.16,1938.0,train,2020-02-06,1,ALL
9355.805,10071.0,train,2020-02-07,1,ALL
10262.03,10071.0,train,2020-02-08,1,ALL
2999.175,2668.0,train,2020-02-10,1,ALL
3780.985,2668.0,train,2020-02-11,1,ALL
7120.725,6479.0,train,2020-02-12,1,ALL
3602.395,3998.0,train,2020-02-13,1,ALL
11428.23,11854.0,train,2020-02-14,1,ALL
3567.405,3598.0,train,2020-02-17,1,ALL
5680.79,4728.0,train,2020-02-18,1,ALL
2738.14,1188.0,train,2020-02-19,1,ALL
2602.275,3004.0,train,2020-02-24,1,ALL
5849.255,8172.0,train,2020-02-25,1,ALL
4186.27,2984.0,train,2020-02-26,1,ALL
10724.025,12422.0,train,2020-02-27,1,ALL
14234.425,17655.0,train,2020-02-28,1,ALL
29007.675,33753.0,train,2020-02-29,1,ALL
21227.265,27552.0,train,2020-03-02,1,ALL
39287.07,41460.0,train,2020-03-03,1,ALL
43616.18,56215.0,train,2020-03-04,1,ALL
3805.63,2002.0,train,2020-03-10,1,ALL
5362.56,2616.0,train,2020-03-13,1,ALL
12146.415,5103.0,train,2020-03-14,1,ALL
2932.9,549.0,train,2020-03-16,1,ALL
6882.055,5601.0,train,2020-03-18,1,ALL
2230.52,536.0,train,2020-03-19,1,ALL
5978.55,6679.0,train,2020-03-20,1,ALL
11373.79,12377.0,train,2020-03-21,1,ALL
2928.755,2267.0,train,2019-06-05,10,ALL
3008.435,3062.0,train,2019-06-11,10,ALL
1820.255,1860.0,train,2019-06-12,10,ALL
2495.055,2364.0,train,2019-06-13,10,ALL
2783.815,2461.0,train,2019-06-14,10,ALL
1899.18,1918.0,train,2019-06-15,10,ALL
2121.925,1918.0,train,2019-06-17,10,ALL
1546.01,1240.0,train,2019-06-18,10,ALL
1941.265,1589.0,train,2019-06-19,10,ALL
4840.605,5232.0,train,2019-06-20,10,ALL
2657.69,2558.0,train,2019-06-21,10,ALL
1687.995,1647.0,train,2019-06-22,10,ALL
2871.19,3372.0,train,2019-06-25,10,ALL
1026.175,872.0,train,2019-07-01,10,ALL
1703.13,1802.0,train,2019-07-03,10,ALL
2306.26,2442.0,train,2019-07-10,10,ALL
2527.55,2132.0,train,2019-07-11,10,ALL
3360.295,3178.0,train,2019-07-12,10,ALL
1267.125,1473.0,train,2019-07-15,10,ALL
2057.56,1918.0,train,2019-07-16,10,ALL
2006.025,2403.0,train,2019-07-18,10,ALL
2986.54,2926.0,train,2019-07-19,10,ALL
1149.28,1279.0,train,2019-07-20,10,ALL
1409.355,1279.0,train,2019-07-22,10,ALL
444.745,213.0,train,2019-07-23,10,ALL
1266.495,969.0,train,2019-07-24,10,ALL
3585.115,3759.0,train,2019-07-25,10,ALL
2668.46,2558.0,train,2019-07-26,10,ALL
984.65,930.0,train,2019-07-29,10,ALL
2886.695,3197.0,train,2019-07-30,10,ALL
1191.175,1337.0,train,2019-07-31,10,ALL
3414.555,3721.0,train,2019-08-01,10,ALL
2839.505,3197.0,train,2019-08-03,10,ALL
1491.125,1705.0,train,2019-08-07,10,ALL
2504.72,1821.0,train,2019-08-13,10,ALL
1200.725,1104.0,train,2019-08-16,10,ALL
1486.37,891.0,train,2019-08-17,10,ALL
983.235,891.0,train,2019-08-19,10,ALL
947.325,542.0,train,2019-08-20,10,ALL
1990.455,1977.0,train,2019-08-21,10,ALL
3414.89,3256.0,train,2019-08-22,10,ALL
2915.11,3546.0,train,2019-08-23,10,ALL
1203.795,1318.0,train,2019-09-10,10,ALL
2584.64,2616.0,train,2019-09-12,10,ALL
2812.035,2500.0,train,2019-09-18,10,ALL
2024.13,1977.0,train,2019-09-20,10,ALL
2254.815,2248.0,train,2019-09-21,10,ALL
2273.955,2248.0,train,2019-09-23,10,ALL
1897.885,2035.0,train,2019-09-24,10,ALL
2022.405,2015.0,train,2019-09-25,10,ALL
3257.96,3333.0,train,2019-09-26,10,ALL
1407.625,1298.0,train,2019-09-27,10,ALL
1286.145,1143.0,train,2019-09-28,10,ALL
1238.07,1143.0,train,2019-09-30,10,ALL
2207.425,2073.0,train,2019-10-01,10,ALL
2065.135,2151.0,train,2019-10-02,10,ALL
2982.75,2771.0,train,2019-10-03,10,ALL
2469.995,2616.0,train,2019-10-04,10,ALL
1458.135,1356.0,train,2019-10-05,10,ALL
1314.155,1356.0,train,2019-10-07,10,ALL
2115.135,1957.0,train,2019-10-08,10,ALL
1450.88,697.0,train,2019-10-09,10,ALL
1997.145,1337.0,train,2019-10-10,10,ALL
2098.05,2035.0,train,2019-10-11,10,ALL
1799.51,2132.0,train,2019-10-14,10,ALL
2281.66,2364.0,train,2019-10-15,10,ALL
1704.39,1531.0,train,2019-10-16,10,ALL
2202.08,2209.0,train,2019-10-18,10,ALL
1393.64,1104.0,train,2019-10-19,10,ALL
1299.48,1104.0,train,2019-10-21,10,ALL
1147.23,852.0,train,2019-10-22,10,ALL
1046.375,1298.0,train,2019-10-23,10,ALL
1357.765,1337.0,train,2019-10-24,10,ALL
1214.585,1066.0,train,2019-10-25,10,ALL
1512.245,1318.0,train,2019-10-26,10,ALL
1455.18,1318.0,train,2019-10-28,10,ALL
1397.55,1279.0,train,2019-10-29,10,ALL
1303.67,1318.0,train,2019-10-30,10,ALL
2054.26,2228.0,train,2019-10-31,10,ALL
768.86,297.0,train,2019-11-02,10,ALL
539.765,297.0,train,2019-11-04,10,ALL
1555.75,1841.0,train,2019-11-05,10,ALL
1583.655,1570.0,train,2019-11-06,10,ALL
2037.56,1783.0,train,2019-11-07,10,ALL
830.07,794.0,train,2019-11-08,10,ALL
872.835,659.0,train,2019-11-09,10,ALL
2591.87,2713.0,train,2019-11-14,10,ALL
1804.49,2054.0,train,2019-11-15,10,ALL
448.26,407.0,train,2019-11-16,10,ALL
501.36,407.0,train,2019-11-18,10,ALL
1888.4,1763.0,train,2019-11-19,10,ALL
1931.155,2015.0,train,2019-11-20,10,ALL
2244.32,1996.0,train,2019-11-21,10,ALL
2651.05,3352.0,train,2019-11-22,10,ALL
1824.17,2209.0,train,2019-11-23,10,ALL
1912.92,2209.0,train,2019-11-25,10,ALL
544.185,252.0,train,2019-11-26,10,ALL
1325.665,1066.0,train,2019-11-27,10,ALL
3279.32,3352.0,train,2019-11-28,10,ALL
1884.08,1298.0,train,2019-11-29,10,ALL
995.13,659.0,train,2019-11-30,10,ALL
877.445,659.0,train,2019-12-02,10,ALL
1073.09,1124.0,train,2019-12-03,10,ALL
504.435,174.0,train,2019-12-04,10,ALL
3150.485,3449.0,train,2019-12-05,10,ALL
1057.715,678.0,train,2019-12-07,10,ALL
3526.13,3411.0,train,2019-12-12,10,ALL
1199.095,445.0,train,2019-12-13,10,ALL
1781.085,2015.0,train,2019-12-14,10,ALL
1925.015,2015.0,train,2019-12-16,10,ALL
3453.28,4089.0,train,2019-12-17,10,ALL
1659.64,2132.0,train,2019-12-18,10,ALL
2479.24,2093.0,train,2019-12-19,10,ALL
1094.62,911.0,train,2019-12-20,10,ALL
682.595,116.0,train,2019-12-21,10,ALL
2676.785,2539.0,train,2019-12-26,10,ALL
1877.065,2248.0,train,2019-12-27,10,ALL
996.955,484.0,train,2019-12-28,10,ALL
975.89,484.0,train,2019-12-30,10,ALL
1003.835,58.0,train,2019-12-31,10,ALL
2029.485,2209.0,train,2020-01-02,10,ALL
1594.885,1414.0,train,2020-01-03,10,ALL
219.64,19.0,train,2020-01-04,10,ALL
521.155,19.0,train,2020-01-07,10,ALL
808.85,607.0,train,2020-01-08,10,ALL
984.34,878.0,train,2020-01-09,10,ALL
895.9,452.0,train,2020-01-10,10,ALL
805.83,840.0,train,2020-01-11,10,ALL
1896.815,1841.0,train,2020-01-15,10,ALL
2284.725,2422.0,train,2020-01-16,10,ALL
2140.705,2500.0,train,2020-01-17,10,ALL
3127.11,4205.0,train,2020-01-18,10,ALL
3541.87,4205.0,train,2020-01-20,10,ALL
403.725,426.0,train,2020-01-21,10,ALL
1861.75,1957.0,train,2020-01-23,10,ALL
1399.62,1163.0,train,2020-01-24,10,ALL
1874.75,1201.0,train,2020-01-27,10,ALL
3020.14,3508.0,train,2020-01-28,10,ALL
4971.1,5639.0,train,2020-01-29,10,ALL
2653.34,2752.0,train,2020-01-30,10,ALL
2081.375,1938.0,train,2020-01-31,10,ALL
4084.8,2732.0,train,2020-02-01,10,ALL
2538.89,2732.0,train,2020-02-03,10,ALL
2546.32,2442.0,train,2020-02-04,10,ALL
3700.285,3004.0,train,2020-02-05,10,ALL
1467.92,1259.0,train,2020-02-06,10,ALL
1660.335,1608.0,train,2020-02-07,10,ALL
2264.38,2190.0,train,2020-02-08,10,ALL
1768.605,2112.0,train,2020-02-10,10,ALL
2557.465,1860.0,train,2020-02-11,10,ALL
2021.63,1492.0,train,2020-02-12,10,ALL
2615.495,2209.0,train,2020-02-13,10,ALL
2732.865,3004.0,train,2020-02-14,10,ALL
2513.135,2732.0,train,2020-02-17,10,ALL
2337.025,2403.0,train,2020-02-18,10,ALL
2604.495,3023.0,train,2020-02-19,10,ALL
1158.5,736.0,train,2020-02-24,10,ALL
1426.12,1473.0,train,2020-02-25,10,ALL
2262.06,2616.0,train,2020-02-26,10,ALL
3068.995,3139.0,train,2020-02-27,10,ALL
2924.335,2480.0,train,2020-02-28,10,ALL
1485.485,1402.0,train,2020-02-29,10,ALL
1595.095,1402.0,train,2020-03-02,10,ALL
1198.58,830.0,train,2020-03-03,10,ALL
2741.04,2553.0,train,2020-03-04,10,ALL
548.33,426.0,train,2020-03-10,10,ALL
1246.17,930.0,train,2020-03-13,10,ALL
518.76,368.0,train,2020-03-14,10,ALL
680.365,639.0,train,2020-03-16,10,ALL
1166.19,1259.0,train,2020-03-17,10,ALL
