fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,stockMissingType,weekday,quarter,month,weekofyear,deltaStock,roll4wd_udsventa,roll4wd_udsstock,roll4wd_udsprevisionempresa
2019-06-05,63,466.0,236.0,7269.0,0.0,0.0,0.0,2,2,6,23,,236.0,466.0,7269.0
2019-06-05,64,1224.0,666.0,13529.0,0.0,0.0,0.0,2,2,6,23,,666.0,1224.0,13529.0
2019-06-05,66,471.0,295.0,5904.0,0.0,0.0,0.0,2,2,6,23,,295.0,471.0,5904.0
2019-06-05,67,812.0,676.0,15463.0,0.0,0.0,0.0,2,2,6,23,,676.0,812.0,15463.0
2019-06-05,68,1545.0,392.0,7451.0,0.0,0.0,0.0,2,2,6,23,,392.0,1545.0,7451.0
2019-06-05,69,995.0,701.0,11673.0,1.0,0.0,0.0,2,2,6,23,,701.0,995.0,11673.0
2019-06-05,72,,615.0,7746.0,0.0,0.0,2.0,2,2,6,23,,615.0,,7746.0
2019-06-05,73,3.0,1001.0,9645.0,1.0,0.0,0.0,2,2,6,23,,1001.0,3.0,9645.0
2019-06-05,74,1841.0,313.0,10065.0,0.0,0.0,0.0,2,2,6,23,,313.0,1841.0,10065.0
2019-06-05,77,925.0,180.0,4754.0,0.0,0.0,0.0,2,2,6,23,,180.0,925.0,4754.0
2019-06-05,78,84.0,455.0,7047.0,0.0,0.0,0.0,2,2,6,23,,455.0,84.0,7047.0
2019-06-05,79,607.0,415.0,10736.0,0.0,0.0,0.0,2,2,6,23,,415.0,607.0,10736.0
2019-06-05,80,,,16295.0,0.0,0.0,2.0,2,2,6,23,,,,16295.0
2019-06-05,84,81.0,501.0,4412.0,1.0,0.0,0.0,2,2,6,23,,501.0,81.0,4412.0
2019-06-05,85,45.0,393.0,4947.0,0.0,0.0,0.0,2,2,6,23,,393.0,45.0,4947.0
2019-06-05,87,428.0,595.0,9548.0,0.0,0.0,0.0,2,2,6,23,,595.0,428.0,9548.0
2019-06-05,88,14.0,124.0,5322.0,0.0,0.0,0.0,2,2,6,23,,124.0,14.0,5322.0
2019-06-05,89,24.0,371.0,6642.0,0.0,0.0,0.0,2,2,6,23,,371.0,24.0,6642.0
2019-06-05,9,3417.0,1180.0,55182.0,0.0,0.0,0.0,2,2,6,23,,1180.0,3417.0,55182.0
2019-06-05,91,84.0,482.0,5293.0,1.0,0.0,0.0,2,2,6,23,,482.0,84.0,5293.0
2019-06-05,94,681.0,431.0,7636.0,0.0,0.0,0.0,2,2,6,23,,431.0,681.0,7636.0
2019-06-05,95,489.0,375.0,7629.0,0.0,0.0,0.0,2,2,6,23,,375.0,489.0,7629.0
2019-06-05,96,793.0,560.0,6721.0,1.0,0.0,0.0,2,2,6,23,,560.0,793.0,6721.0
2019-06-05,97,339.0,418.0,6290.0,0.0,0.0,0.0,2,2,6,23,,418.0,339.0,6290.0
2019-06-05,98,541.0,386.0,6735.0,0.0,0.0,0.0,2,2,6,23,,386.0,541.0,6735.0
2019-06-05,99,,,10892.0,0.0,0.0,2.0,2,2,6,23,,,,10892.0
2019-06-06,1,,17475.0,34479.0,1.0,0.0,2.0,3,2,6,23,,17475.0,,34479.0
2019-06-06,10,,3365.0,72855.0,1.0,0.0,2.0,3,2,6,23,,3365.0,,72855.0
2019-06-06,11,,3857.0,35707.0,0.0,0.0,2.0,3,2,6,23,,3857.0,,35707.0
2019-06-06,12,,1672.0,41219.0,0.0,0.0,2.0,3,2,6,23,,1672.0,,41219.0
2019-06-06,13,,2676.0,60260.0,1.0,0.0,2.0,3,2,6,23,,2676.0,,60260.0
2019-06-06,14,,2376.0,37600.0,0.0,0.0,2.0,3,2,6,23,,2376.0,,37600.0
2019-06-06,15,,1416.0,13319.0,0.0,0.0,2.0,3,2,6,23,,1416.0,,13319.0
2019-06-06,17,,2520.0,41013.0,0.0,0.0,2.0,3,2,6,23,,2520.0,,41013.0
2019-06-06,18,,2388.0,40884.0,0.0,0.0,2.0,3,2,6,23,,2388.0,,40884.0
2019-06-06,19,,2098.0,33202.0,0.0,0.0,2.0,3,2,6,23,,2098.0,,33202.0
2019-06-06,2,,4329.0,37785.0,0.0,0.0,2.0,3,2,6,23,,4329.0,,37785.0
2019-06-06,20,,1175.0,18624.0,0.0,0.0,2.0,3,2,6,23,,1175.0,,18624.0
2019-06-06,21,,1697.0,28673.0,0.0,0.0,2.0,3,2,6,23,,1697.0,,28673.0
2019-06-06,22,,910.0,18611.0,0.0,0.0,2.0,3,2,6,23,,910.0,,18611.0
2019-06-06,23,,1324.0,26454.0,1.0,0.0,2.0,3,2,6,23,,1324.0,,26454.0
2019-06-06,24,,2121.0,44334.0,0.0,0.0,2.0,3,2,6,23,,2121.0,,44334.0
2019-06-06,26,,1785.0,20078.0,1.0,0.0,2.0,3,2,6,23,,1785.0,,20078.0
2019-06-06,28,,1785.0,36271.0,0.0,0.0,2.0,3,2,6,23,,1785.0,,36271.0
2019-06-06,29,,1562.0,26456.0,0.0,0.0,2.0,3,2,6,23,,1562.0,,26456.0
2019-06-06,3,,7557.0,50538.0,1.0,0.0,2.0,3,2,6,23,,7557.0,,50538.0
2019-06-06,30,,944.0,17426.0,0.0,0.0,2.0,3,2,6,23,,944.0,,17426.0
