producto,fecha,udsprevisionempresa
99,2019-02-27,442
2,2019-02-28,16436
35,2019-02-28,6266
91,2019-02-28,1360
29,2019-02-28,5689
17,2019-02-28,3421
59,2019-02-28,1749
70,2019-02-28,2260
74,2019-02-28,2984
98,2019-02-28,1208
97,2019-02-28,1499
14,2019-02-28,8612
82,2019-02-28,3148
89,2019-02-28,1565
19,2019-02-28,6298
62,2019-02-28,2664
24,2019-02-28,8140
48,2019-02-28,4156
52,2019-02-28,2070
20,2019-02-28,5543
49,2019-02-28,5077
40,2019-02-28,5225
84,2019-02-28,951
23,2019-02-28,5166
73,2019-02-28,1551
78,2019-02-28,1668
4,2019-02-28,16058
69,2019-02-28,4380
26,2019-02-28,3992
83,2019-02-28,633
7,2019-02-28,10705
37,2019-02-28,1597
85,2019-02-28,1526
15,2019-02-28,6234
11,2019-02-28,9257
44,2019-02-28,2976
58,2019-02-28,92
60,2019-02-28,1500
46,2019-02-28,5108
79,2019-02-28,1852
63,2019-02-28,3442
96,2019-02-28,905
10,2019-02-28,14653
87,2019-02-28,1552
21,2019-02-28,6258
67,2019-02-28,2061
31,2019-02-28,5850
1,2019-02-28,16436
28,2019-02-28,9086
68,2019-02-28,1546
77,2019-02-28,1213
53,2019-02-28,3022
30,2019-02-28,6157
76,2019-02-28,2302
42,2019-02-28,4325
32,2019-02-28,6211
43,2019-02-28,4033
66,2019-02-28,2684
94,2019-02-28,994
55,2019-02-28,4065
5,2019-02-28,10107
36,2019-02-28,4544
3,2019-02-28,9635
54,2019-02-28,3411
34,2019-02-28,1962
22,2019-02-28,4017
64,2019-02-28,3295
95,2019-02-28,1387
71,2019-02-28,2815
13,2019-02-28,13760
16,2019-02-28,7195
75,2019-02-28,1487
18,2019-02-28,8037
61,2019-02-28,2444
57,2019-02-28,2275
88,2019-02-28,1185
33,2019-02-28,1936
50,2019-02-28,3767
9,2019-02-28,6234
45,2019-02-28,3266
12,2019-02-28,11571
38,2019-02-28,3711
72,2019-02-28,2843
47,2019-02-28,4310
55,2019-03-01,4495
12,2019-03-01,10237
74,2019-03-01,3075
38,2019-03-01,3728
23,2019-03-01,7876
75,2019-03-01,2187
40,2019-03-01,5951
95,2019-03-01,1719
5,2019-03-01,13607
69,2019-03-01,4990
11,2019-03-01,7934
16,2019-03-01,9791
71,2019-03-01,3695
45,2019-03-01,5507
30,2019-03-01,8926
99,2019-03-01,752
60,2019-03-01,793
76,2019-03-01,1948
48,2019-03-01,4368
54,2019-03-01,4001
4,2019-03-01,20664
61,2019-03-01,3143
7,2019-03-01,6140
87,2019-03-01,2118
10,2019-03-01,11288
85,2019-03-01,3024
46,2019-03-01,5688
88,2019-03-01,1616
89,2019-03-01,1863
17,2019-03-01,3626
34,2019-03-01,8580
97,2019-03-01,991
50,2019-03-01,2817
42,2019-03-01,4935
9,2019-03-01,8501
81,2019-03-01,10245
22,2019-03-01,3640
13,2019-03-01,8979
36,2019-03-01,2597
70,2019-03-01,2112
78,2019-03-01,2352
73,2019-03-01,2433
66,2019-03-01,2975
21,2019-03-01,8487
26,2019-03-01,2829
68,2019-03-01,1990
24,2019-03-01,9425
44,2019-03-01,4295
79,2019-03-01,2207
53,2019-03-01,3006
58,2019-03-01,161
83,2019-03-01,396
72,2019-03-01,2361
28,2019-03-01,7515
32,2019-03-01,7261
31,2019-03-01,6265
43,2019-03-01,5418
3,2019-03-01,12469
96,2019-03-01,1121
29,2019-03-01,7041
67,2019-03-01,2405
92,2019-03-01,8076
35,2019-03-01,6857
98,2019-03-01,955
14,2019-03-01,12109
49,2019-03-01,4677
47,2019-03-01,4685
62,2019-03-01,3571
20,2019-03-01,6715
57,2019-03-01,3987
80,2019-03-01,885
19,2019-03-01,9578
2,2019-03-01,22671
18,2019-03-01,10561
77,2019-03-01,1012
52,2019-03-01,3505
15,2019-03-01,3967
94,2019-03-01,1383
84,2019-03-01,1245
59,2019-03-01,1385
64,2019-03-01,5867
82,2019-03-01,5116
1,2019-03-01,17003
37,2019-03-01,1883
63,2019-03-01,4264
33,2019-03-01,3463
91,2019-03-01,2747
3,2019-03-02,8926
24,2019-03-02,3777
59,2019-03-02,225
9,2019-03-02,11902
67,2019-03-02,64
98,2019-03-02,95
61,2019-03-02,1
68,2019-03-02,225
5,2019-03-02,6549
97,2019-03-02,90
36,2019-03-02,606
60,2019-03-02,485
26,2019-03-02,690
38,2019-03-02,842
95,2019-03-02,2
50,2019-03-02,872
76,2019-03-02,1298
11,2019-03-02,4298
70,2019-03-02,116
4,2019-03-02,13815
53,2019-03-02,1496
7,2019-03-02,6848
77,2019-03-02,147
74,2019-03-02,48
17,2019-03-02,650
37,2019-03-02,88
2,2019-03-02,17003
49,2019-03-02,2150
22,2019-03-02,752
44,2019-03-02,2
15,2019-03-02,5526
1,2019-03-02,25930
21,2019-03-02,3571
72,2019-03-02,1446
96,2019-03-02,53
54,2019-03-02,0
73,2019-03-03,1
57,2019-03-03,1
45,2019-03-03,104
29,2019-03-03,88
4,2019-03-04,35069
31,2019-03-04,8435
77,2019-03-04,1969
42,2019-03-04,6925
15,2019-03-04,5667
13,2019-03-04,10485
59,2019-03-04,3998
68,2019-03-04,3752
83,2019-03-04,2534
48,2019-03-04,6792
37,2019-03-04,2605
78,2019-03-04,3717
99,2019-03-04,4383
11,2019-03-04,20278
3,2019-03-04,26072
26,2019-03-04,8085
98,2019-03-04,3193
75,2019-03-04,3360
79,2019-03-04,4038
22,2019-03-04,6990
58,2019-03-04,327
19,2019-03-04,14089
32,2019-03-04,9670
94,2019-03-04,4162
85,2019-03-04,2147
12,2019-03-04,16644
82,2019-03-04,4959
24,2019-03-04,16996
96,2019-03-04,2869
16,2019-03-04,11912
46,2019-03-04,8306
43,2019-03-04,6242
21,2019-03-04,8723
34,2019-03-04,4534
57,2019-03-04,11041
88,2019-03-04,3146
87,2019-03-04,4872
45,2019-03-04,6116
44,2019-03-04,10908
72,2019-03-04,4383
2,2019-03-04,30606
23,2019-03-04,19554
74,2019-03-04,8202
53,2019-03-04,7191
52,2019-03-04,5751
5,2019-03-04,25540
64,2019-03-04,7071
29,2019-03-04,10064
47,2019-03-04,7352
30,2019-03-04,9205
33,2019-03-04,12910
35,2019-03-04,9892
73,2019-03-04,6444
95,2019-03-04,3369
9,2019-03-04,11477
18,2019-03-04,13514
50,2019-03-04,5892
40,2019-03-04,7638
38,2019-03-04,7479
1,2019-03-04,127526
76,2019-03-04,2833
7,2019-03-04,14484
10,2019-03-04,11610
66,2019-03-04,5207
55,2019-03-04,6022
54,2019-03-04,7970
67,2019-03-04,7264
97,2019-03-04,3465
60,2019-03-04,2845
20,2019-03-04,15972
63,2019-03-04,6668
14,2019-03-04,15066
69,2019-03-04,6827
62,2019-03-04,5508
71,2019-03-04,5318
49,2019-03-04,8203
17,2019-03-04,5905
80,2019-03-04,5490
36,2019-03-04,7569
28,2019-03-04,6706
89,2019-03-04,3232
84,2019-03-04,2302
61,2019-03-04,6071
70,2019-03-04,5608
91,2019-03-04,2725
68,2019-03-05,2894
94,2019-03-05,2720
61,2019-03-05,6170
57,2019-03-05,3793
22,2019-03-05,5184
55,2019-03-05,6541
47,2019-03-05,9304
52,2019-03-05,5273
49,2019-03-05,9562
63,2019-03-05,5701
32,2019-03-05,10367
33,2019-03-05,10345
