fecha,producto,udsventa
2015-07-02,36,944
2015-07-02,38,1211
2015-07-03,82,1557
2015-07-03,72,270
2015-07-03,24,1205
2015-07-03,62,1284
2015-07-03,98,322
2015-07-03,44,1559
2015-07-03,71,1184
2015-07-03,81,137
2015-07-03,75,2125
2015-07-03,64,105
2015-07-03,48,1544
2015-07-03,7,3542
2015-07-03,43,322
2015-07-03,36,1478
2015-07-03,38,1947
2015-07-03,57,1747
2015-07-03,35,2130
2015-07-03,61,856
2015-07-03,63,1313
2015-07-03,5,3166
2015-07-03,29,287
2015-07-03,34,1751
2015-07-03,55,1082
2015-07-03,54,1516
2015-07-03,94,678
2015-07-03,23,1932
2015-07-03,50,1516
2015-07-03,68,706
2015-07-03,17,2607
2015-07-03,97,316
2015-07-03,1,12044
2015-07-03,16,722
2015-07-03,4,3896
2015-07-03,18,365
2015-07-03,26,1841
2015-07-03,21,1328
2015-07-03,12,3665
2015-07-03,9,4250
2015-07-03,66,1402
2015-07-03,89,1003
2015-07-03,32,1387
2015-07-03,20,2189
2015-07-03,30,2892
2015-07-03,59,1629
2015-07-03,96,410
2015-07-03,13,2469
2015-07-03,78,782
2015-07-03,15,1416
2015-07-03,79,170
2015-07-03,53,1372
2015-07-03,10,3335
2015-07-03,74,393
2015-07-03,73,1376
2015-07-03,67,765
2015-07-03,22,2585
2015-07-03,46,1293
2015-07-03,60,520
2015-07-03,14,494
2015-07-03,33,1416
2015-07-03,88,1485
2015-07-03,49,885
2015-07-03,91,549
2015-07-03,87,669
2015-07-03,19,408
2015-07-03,84,111
2015-07-03,70,717
2015-07-03,42,1785
2015-07-03,40,1904
2015-07-04,49,885
2015-07-04,72,196
2015-07-04,64,955
2015-07-04,16,3864
2015-07-04,29,2152
2015-07-04,24,4442
2015-07-04,18,1297
2015-07-04,19,1377
2015-07-04,21,1180
2015-07-04,14,3383
2015-07-04,99,492
2015-07-04,43,1644
2015-07-04,79,979
2015-07-04,44,46
2015-07-04,80,1
2015-07-04,74,9
2015-07-04,84,1070
2015-07-06,87,430
2015-07-06,82,922
2015-07-06,96,344
2015-07-06,72,295
2015-07-06,32,1018
2015-07-06,59,767
2015-07-06,97,159
2015-07-06,74,391
2015-07-06,94,563
2015-07-06,53,1586
2015-07-06,23,2241
2015-07-06,73,1253
2015-07-06,4,1948
2015-07-06,44,1554
2015-07-06,15,1062
2015-07-06,21,1131
2015-07-06,13,1318
2015-07-06,48,954
2015-07-06,54,901
2015-07-06,1,4250
2015-07-06,99,1476
2015-07-06,9,2125
2015-07-06,89,728
2015-07-06,67,896
2015-07-06,88,1247
2015-07-06,42,1126
2015-07-06,63,184
2015-07-06,46,487
2015-07-06,38,813
2015-07-06,3,6376
2015-07-06,71,693
2015-07-06,68,484
2015-07-06,55,452
2015-07-06,57,1482
2015-07-06,66,733
2015-07-06,80,2461
2015-07-06,98,441
2015-07-06,50,955
2015-07-06,17,1022
2015-07-06,70,648
2015-07-06,36,656
2015-07-06,5,8346
2015-07-06,7,1771
2015-07-06,40,1018
2015-07-06,61,784
2015-07-06,91,296
2015-07-06,22,464
2015-07-06,35,797
2015-07-06,20,1718
2015-07-06,12,1795
2015-07-06,62,703
2015-07-06,24,1667
2015-07-06,26,956
2015-07-06,30,767
2015-07-06,10,1741
2015-07-06,60,265
2015-07-06,33,1653
2015-07-06,34,19
2015-07-06,78,661
2015-07-06,49,787
2015-07-07,87,265
2015-07-07,36,694
2015-07-07,7,1771
2015-07-07,49,885
2015-07-07,16,3223
2015-07-07,84,971
2015-07-07,10,2125
2015-07-07,29,2114
2015-07-07,64,826
2015-07-07,38,990
2015-07-07,5,6701
2015-07-07,55,3207
2015-07-07,63,3291
2015-07-07,32,4774
2015-07-07,91,476
2015-07-07,14,3143
2015-07-07,50,900
2015-07-07,70,257
2015-07-07,42,5033
2015-07-07,61,546
2015-07-07,43,1678
2015-07-07,79,953
2015-07-07,9,5667
2015-07-07,12,11045
2015-07-07,57,753
2015-07-07,73,600
2015-07-07,35,6159
2015-07-07,46,3276
2015-07-07,82,799
2015-07-07,60,186
2015-07-07,94,343
2015-07-07,88,1013
2015-07-07,53,1239
2015-07-07,54,664
2015-07-07,30,7800
2015-07-07,75,4797
2015-07-07,15,708
2015-07-07,71,757
2015-07-07,13,1849
2015-07-07,24,1402
2015-07-07,66,3995
2015-07-07,44,896
2015-07-07,89,557
2015-07-07,18,3148
2015-07-07,19,1403
2015-07-07,1,9918
2015-07-07,74,196
2015-07-07,40,6922
2015-07-07,68,351
2015-07-07,26,857
2015-07-07,62,3758
2015-07-07,17,1297
2015-07-07,21,1131
2015-07-07,33,7537
2015-07-07,59,467
2015-07-07,48,4339
2015-07-07,67,650
2015-07-07,23,1253
2015-07-07,20,1276
2015-07-07,34,255
2015-07-07,4,3247
2015-07-07,72,246
2015-07-07,96,223
2015-07-07,98,327
2015-07-07,78,420
2015-07-07,22,1307
2015-07-07,97,178
2015-07-08,19,902
2015-07-08,73,849
2015-07-08,40,1712
2015-07-08,71,675
2015-07-08,17,1185
2015-07-08,14,2242
2015-07-08,97,216
2015-07-08,53,1623
2015-07-08,54,1227
2015-07-08,64,453
2015-07-08,1,12044
2015-07-08,32,1291
2015-07-08,50,706
2015-07-08,44,1394
2015-07-08,94,458
2015-07-08,5,6538
2015-07-08,21,1279
2015-07-08,78,415
2015-07-08,48,929
2015-07-08,91,551
2015-07-08,43,813
2015-07-08,98,387
2015-07-08,4,3896
2015-07-08,68,332
2015-07-08,89,558
2015-07-08,49,1082
2015-07-08,57,1097
2015-07-08,61,761
2015-07-08,9,3542
2015-07-08,87,343
2015-07-08,12,2538
2015-07-08,67,667
2015-07-08,24,1918
2015-07-08,34,255
2015-07-08,99,738
2015-07-08,46,900
2015-07-08,63,376
2015-07-08,36,787
2015-07-08,60,247
2015-07-08,26,781
2015-07-08,35,1456
2015-07-08,82,1001
2015-07-08,72,369
2015-07-08,75,1702
2015-07-08,18,1883
2015-07-08,55,590
2015-07-08,29,1431
2015-07-08,42,870
2015-07-08,38,841
2015-07-08,20,1795
2015-07-08,80,1969
2015-07-08,10,1977
2015-07-08,30,2059
2015-07-08,88,907
2015-07-08,79,611
2015-07-08,62,831
2015-07-08,33,393
2015-07-08,96,381
2015-07-08,16,2184
2015-07-08,84,671
2015-07-08,22,1049
2015-07-08,7,2952
2015-07-08,23,2014
2015-07-08,15,1062
2015-07-08,70,591
2015-07-08,59,845
2015-07-08,74,206
2015-07-08,66,826
2015-07-08,13,1416
2015-07-09,7,1180
2015-07-09,44,955
2015-07-09,68,367
2015-07-09,97,152
2015-07-09,19,879
2015-07-09,99,984
2015-07-09,75,988
2015-07-09,94,436
2015-07-09,88,897
2015-07-09,42,738
2015-07-09,66,900
2015-07-09,49,984
2015-07-09,72,270
2015-07-09,22,1351
2015-07-09,63,974
2015-07-09,50,936
2015-07-09,84,627
2015-07-09,71,627
2015-07-09,96,246
2015-07-09,33,2774
2015-07-09,18,1765
2015-07-09,1,4250
2015-07-09,82,774
2015-07-09,74,178
2015-07-09,87,266
2015-07-09,4,1298
2015-07-09,23,1414
2015-07-09,79,627
2015-07-09,53,922
2015-07-09,14,2343
2015-07-09,46,988
2015-07-09,61,537
2015-07-09,73,471
2015-07-09,98,238
2015-07-09,89,496
2015-07-09,48,949
2015-07-09,17,1594
2015-07-09,38,1164
2015-07-09,40,1350
2015-07-09,20,762
2015-07-09,70,402
2015-07-09,57,682
2015-07-09,91,558
2015-07-09,10,2154
2015-07-09,54,1004
2015-07-09,60,274
2015-07-09,55,836
2015-07-09,62,772
2015-07-09,29,1488
2015-07-09,80,1968
2015-07-09,12,2548
2015-07-09,15,708
2015-07-09,67,382
2015-07-09,5,5195
2015-07-09,59,671
2015-07-09,78,745
2015-07-09,36,863
2015-07-09,64,516
2015-07-09,30,1778
2015-07-09,13,2154
2015-07-09,32,981
2015-07-09,24,1771
2015-07-09,34,826
2015-07-09,26,1056
2015-07-09,43,800
2015-07-09,21,1205
2015-07-09,16,2789
2015-07-09,9,1416
2015-07-09,35,1185
2015-07-10,42,1771
2015-07-10,78,767
2015-07-10,59,933
2015-07-10,20,2501
2015-07-10,64,479
2015-07-10,91,204
2015-07-10,57,1672
2015-07-10,30,3099
2015-07-10,89,1019
2015-07-10,13,2312
2015-07-10,38,1580
2015-07-10,29,1250
2015-07-10,16,2264
2015-07-10,17,2455
2015-07-10,22,2460
2015-07-10,49,762
2015-07-10,12,4295
2015-07-10,98,306
2015-07-10,63,1254
2015-07-10,81,206
2015-07-10,82,1298
2015-07-10,62,1623
2015-07-10,53,1527
2015-07-10,72,270
2015-07-10,50,1408
2015-07-10,94,651
2015-07-10,96,424
2015-07-10,19,722
2015-07-10,66,1338
2015-07-10,33,1141
2015-07-10,61,1142
2015-07-10,40,2671
2015-07-10,35,2105
2015-07-10,5,5269
2015-07-10,88,1195
2015-07-10,7,2952
2015-07-10,9,7793
2015-07-10,54,1345
2015-07-10,60,265
2015-07-10,75,2435
2015-07-10,43,853
2015-07-10,34,1869
2015-07-10,14,1924
2015-07-10,71,1049
2015-07-10,67,854
2015-07-10,74,314
2015-07-10,18,1013
2015-07-10,44,1474
2015-07-10,32,1896
2015-07-10,26,1699
2015-07-10,4,5195
2015-07-10,21,934
2015-07-10,15,1416
2015-07-10,48,1958
2015-07-10,87,535
2015-07-10,84,496
2015-07-10,23,1900
