fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,weekday
2019-06-07,59,,675.0,6199.0,1.0,0.0,4
2019-06-07,60,,532.0,2344.0,0.0,0.0,4
2019-06-07,61,,1126.0,14816.0,0.0,0.0,4
2019-06-07,62,,309.0,9307.0,0.0,0.0,4
2019-06-07,63,,302.0,8171.0,0.0,0.0,4
2019-06-07,64,,1937.0,17105.0,0.0,0.0,4
2019-06-07,66,,570.0,8253.0,1.0,0.0,4
2019-06-07,67,,1146.0,17639.0,0.0,0.0,4
2019-06-07,68,,510.0,5106.0,0.0,0.0,4
2019-06-07,69,,1151.0,16711.0,1.0,0.0,4
2019-06-07,72,,492.0,8132.0,0.0,0.0,4
2019-06-07,73,,729.0,9733.0,1.0,0.0,4
2019-06-07,74,,512.0,10619.0,0.0,0.0,4
2019-06-07,77,,357.0,3248.0,0.0,0.0,4
2019-06-07,78,,772.0,13048.0,0.0,0.0,4
2019-06-07,79,,1075.0,8950.0,0.0,0.0,4
2019-06-07,80,,,7773.0,0.0,0.0,4
2019-06-07,84,,573.0,4262.0,1.0,0.0,4
2019-06-07,85,,1180.0,13871.0,0.0,0.0,4
2019-06-07,87,,824.0,9976.0,0.0,0.0,4
2019-06-07,88,,622.0,7953.0,0.0,0.0,4
2019-06-07,89,,634.0,10241.0,0.0,0.0,4
2019-06-07,9,,1968.0,22041.0,0.0,0.0,4
2019-06-07,91,,1146.0,11721.0,1.0,0.0,4
2019-06-07,94,,376.0,6960.0,0.0,0.0,4
2019-06-07,95,,473.0,6403.0,0.0,0.0,4
2019-06-07,96,,533.0,6352.0,1.0,0.0,4
2019-06-07,97,,467.0,6577.0,0.0,0.0,4
2019-06-07,98,,356.0,5373.0,0.0,0.0,4
2019-06-07,99,,,6494.0,0.0,0.0,4
2019-06-08,1,,,98716.0,0.0,0.0,5
2019-06-08,10,,,34.0,0.0,0.0,5
2019-06-08,11,,551.0,56426.0,0.0,0.0,5
2019-06-08,12,,865.0,4109.0,0.0,0.0,5
2019-06-08,13,,,34.0,0.0,0.0,5
2019-06-08,14,,211.0,2246.0,0.0,0.0,5
2019-06-08,15,,,7651.0,0.0,0.0,5
2019-06-08,17,,2359.0,16476.0,1.0,0.0,5
2019-06-08,18,,180.0,1464.0,0.0,0.0,5
2019-06-08,19,,375.0,3729.0,0.0,0.0,5
2019-06-08,2,,787.0,49121.0,0.0,0.0,5
2019-06-08,20,,,,1.0,0.0,5
2019-06-08,21,,1451.0,18135.0,0.0,0.0,5
2019-06-08,22,,81.0,3781.0,0.0,0.0,5
2019-06-08,23,,,,1.0,0.0,5
2019-06-08,24,,1335.0,17365.0,0.0,0.0,5
2019-06-08,26,,334.0,2830.0,1.0,0.0,5
2019-06-08,28,,,,0.0,0.0,5
2019-06-08,29,,82.0,1013.0,0.0,0.0,5
2019-06-08,3,,3306.0,38824.0,1.0,0.0,5
2019-06-08,30,,295.0,2876.0,0.0,0.0,5
2019-06-08,31,,619.0,2351.0,0.0,0.0,5
2019-06-08,32,,275.0,3572.0,0.0,0.0,5
2019-06-08,35,,629.0,4315.0,0.0,0.0,5
2019-06-08,36,,73.0,1811.0,1.0,0.0,5
2019-06-08,37,,,,0.0,0.0,5
2019-06-08,38,,103.0,2479.0,1.0,0.0,5
2019-06-08,4,,2361.0,43453.0,0.0,0.0,5
2019-06-08,40,,287.0,2799.0,1.0,0.0,5
2019-06-08,42,,553.0,5558.0,0.0,0.0,5
2019-06-08,43,,151.0,1494.0,0.0,0.0,5
2019-06-08,45,,146.0,1544.0,0.0,0.0,5
2019-06-08,46,,615.0,4007.0,0.0,0.0,5
2019-06-08,48,,619.0,2841.0,0.0,0.0,5
2019-06-08,49,,787.0,10724.0,0.0,0.0,5
2019-06-08,5,,1409.0,31097.0,0.0,0.0,5
2019-06-08,50,,81.0,4938.0,0.0,0.0,5
2019-06-08,52,,66.0,922.0,0.0,0.0,5
2019-06-08,53,,523.0,7354.0,0.0,0.0,5
2019-06-08,55,,639.0,2961.0,0.0,0.0,5
2019-06-08,57,,,,0.0,0.0,5
2019-06-08,58,,,,0.0,0.0,5
2019-06-08,59,,140.0,1322.0,1.0,0.0,5
2019-06-08,60,,51.0,1735.0,0.0,0.0,5
2019-06-08,61,,6.0,50.0,0.0,0.0,5
2019-06-08,62,,324.0,1976.0,0.0,0.0,5
2019-06-08,63,,302.0,1815.0,0.0,0.0,5
2019-06-08,64,,,3.0,0.0,0.0,5
2019-06-08,66,,782.0,3250.0,1.0,0.0,5
2019-06-08,67,,8.0,75.0,0.0,0.0,5
2019-06-08,68,,81.0,1735.0,0.0,0.0,5
2019-06-08,69,,383.0,2677.0,1.0,0.0,5
2019-06-08,72,,442.0,6007.0,0.0,0.0,5
2019-06-08,73,,,,1.0,0.0,5
2019-06-08,74,,7.0,82.0,0.0,0.0,5
2019-06-08,77,,81.0,764.0,0.0,0.0,5
2019-06-08,78,,,,0.0,0.0,5
2019-06-08,79,,54.0,612.0,0.0,0.0,5
2019-06-08,80,,,0.0,0.0,0.0,5
2019-06-08,84,,88.0,726.0,1.0,0.0,5
2019-06-08,85,,,,0.0,0.0,5
2019-06-08,87,,,,0.0,0.0,5
2019-06-08,88,,,,0.0,0.0,5
2019-06-08,89,,,,0.0,0.0,5
2019-06-08,9,,787.0,47074.0,0.0,0.0,5
2019-06-08,91,,,,1.0,0.0,5
2019-06-08,94,,,,0.0,0.0,5
2019-06-08,95,,2.0,34.0,0.0,0.0,5
