"Producto";"fecha";"udsPrevisionEmpresa"
"49";"2020-01-21";"4694,6640"
"88";"2019-11-03";"619,9200"
"17";"2019-11-09";"10228,6800"
"81";"2019-11-29";"14175,5040"
"19";"2020-01-05";",0000"
"12";"2020-01-31";"5927,6160"
"36";"2020-03-14";"1382,5200"
"59";"2019-03-27";"5214,2160"
"52";"2019-04-22";"9366,9420"
"71";"2019-08-26";"427,3020"
"95";"2019-10-31";"38,3760"
"24";"2019-11-06";"13191,5040"
"88";"2019-11-26";"568,2600"
"12";"2020-01-08";"3382,9920"
"76";"2020-01-28";",0000"
"5";"2020-02-03";"9262,6380"
"52";"2019-03-30";"431,9760"
"45";"2019-04-25";"7439,0400"
"76";"2019-06-27";"2041,8000"
"64";"2019-08-29";"657,8040"
"57";"2019-09-24";"674,0400"
"74";"2019-11-09";"70,8480"
"5";"2020-01-11";"17043,3720"
"69";"2020-01-31";"6478,1640"
"22";"2020-03-20";"2774,6340"
"2";"2019-03-27";"80136,9600"
"45";"2019-04-02";"7751,2140"
"66";"2019-04-16";"12112,0560"
"83";"2019-06-24";"4752,7200"
"14";"2019-08-26";"3647,1960"
"10";"2019-11-12";"9416,8800"
"74";"2019-12-02";"8219,1060"
"31";"2019-05-01";"12442,6800"
"78";"2019-08-23";"2261,9700"
"45";"2019-10-28";"4874,9820"
"60";"2019-11-15";"869,6100"
"80";"2019-04-10";"17475,8400"
"9";"2019-04-16";"29331,0720"
"92";"2019-09-09";"5,9040"
"52";"2019-10-25";"4897,3680"
"45";"2019-11-20";"5024,3040"
"64";"2020-03-25";"1842,5400"
"15";"2020-03-23";"755,7120"
"88";"2019-05-01";"2725,6800"
"33";"2019-06-21";"3,4440"
"21";"2019-08-23";"9717,0000"
"3";"2019-11-15";"14169,6000"
"30";"2019-03-15";"3849,4080"
"40";"2019-06-24";"2963,8080"
"42";"2019-08-14";"1567,5120"
"29";"2019-09-13";"3679,1760"
"50";"2019-09-27";"1121,2680"
"81";"2019-11-06";"2145,6120"
"62";"2020-02-03";"739,4760"
"38";"2019-04-05";"7537,4400"
"59";"2019-04-19";"7526,1240"
"50";"2019-09-04";"664,4460"
"71";"2019-09-18";"188,4360"
"66";"2019-11-11";"1633,4400"
"4";"2019-12-18";"30700,8000"
"98";"2020-02-12";"2355,6960"
"91";"2020-03-09";"1515,8520"
"37";"2019-04-04";"2317,3200"
"67";"2019-05-10";"14513,0160"
"15";"2019-09-19";"1039,1040"
"73";"2019-10-16";"3514,3560"
"84";"2020-03-12";"1790,8800"
"21";"2020-03-19";"6858,4800"
"60";"2019-05-13";"3588,1560"
"79";"2019-09-16";"396,3060"
"80";"2019-10-13";"1790,8800"
"3";"2019-11-21";"23143,6800"
"82";"2019-12-23";"944,6400"
"97";"2020-01-13";"1891,2480"
"13";"2020-02-24";"6533,7600"
"53";"2019-05-16";"12385,1160"
"87";"2019-10-10";"2497,3920"
"53";"2019-11-18";"4366,0080"
"78";"2020-03-19";"1493,7120"
"23";"2019-03-18";"6518,0160"
"44";"2019-04-01";"18878,0400"
"75";"2019-06-03";"6007,3200"
"22";"2019-09-16";"887,0760"
"23";"2019-10-13";"13,7760"
"55";"2020-02-06";"3430,2240"
"16";"2019-03-21";"12242,4360"
"31";"2019-04-08";"12165,1920"
"11";"2019-06-06";"35707,3920"
"26";"2019-06-24";"6712,3560"
"30";"2019-10-10";"6029,9520"
"75";"2019-12-26";"1977,8400"
"63";"2020-02-27";"2488,5360"
"29";"2019-03-11";"7192,5480"
"24";"2019-04-11";"39028,3920"
"18";"2019-06-03";"27810,3000"
"33";"2019-06-27";"1654,3500"
"85";"2019-09-12";"1271,8200"
"67";"2019-12-05";"3639,8160"
"61";"2019-12-12";"1250,1720"
"79";"2019-03-14";"1408,1040"
"94";"2019-04-04";"3858,2640"
"68";"2019-06-06";"9499,0440"
"72";"2019-09-19";"575,6400"
"38";"2019-10-31";"6616,9080"
"59";"2019-11-14";"1900,1040"
"94";"2019-10-27";"15,4980"
"32";"2019-12-03";"2822,1120"
"4";"2019-12-12";"13933,4400"
"49";"2020-02-10";"6473,7360"
"3";"2019-04-26";"20829,3120"
"82";"2019-05-28";"8029,4400"
"84";"2019-07-24";"673,3020"
"30";"2019-10-07";"4160,3520"
"87";"2019-10-30";"3237,3600"
"42";"2020-02-13";"4752,7200"
"35";"2020-03-10";"4298,1120"
"20";"2019-07-27";",0000"
"94";"2019-10-04";"2639,8260"
"58";"2019-10-21";"110,7000"
"11";"2020-01-04";"7934,9760"
"96";"2019-05-22";"5601,4200"
"44";"2019-10-01";"382,2840"
"87";"2019-10-07";"3480,1620"
"21";"2020-03-16";"2125,4400"
"46";"2019-05-25";"3773,6400"
"77";"2019-07-27";"107,7480"
"96";"2019-12-20";"2688,7800"
"47";"2019-12-18";"7365,2400"
"68";"2020-01-04";"876,7440"
"85";"2020-03-13";"4543,1280"
"67";"2019-05-13";"9963,4920"
"58";"2019-09-25";"87,0840"
"79";"2019-10-12";"218,4480"
"89";"2019-12-23";"647,2260"
"75";"2020-01-01";"2200,7160"
"78";"2020-03-16";"1011,0600"
"44";"2019-03-29";"20342,7240"
"74";"2019-05-10";"9639,7560"
"32";"2019-05-31";"25555,9560"
"18";"2019-12-09";"5513,5980"
"20";"2020-01-29";"6892,9200"
"28";"2020-03-13";"7704,7200"
"4";"2019-05-17";"66715,2000"
"53";"2019-05-22";"13469,9760"
"29";"2019-09-16";"1037,6280"
"16";"2019-10-16";"11397,6720"
"18";"2020-01-01";"12272,9400"
"49";"2020-03-04";"8960,3040"
"17";"2019-05-10";"25971,2040"
"37";"2019-10-04";"1974,8880"
"53";"2019-12-14";"1297,4040"
"44";"2019-03-09";"9,8400"
"21";"2020-02-25";"3188,1600"
"24";"2019-05-07";"22951,8000"
