"id";"iniciopromo";"finpromo";"semanainicio";"semanafin";"Producto";"preciotarifa";"preciopromocion";"cantidad";"tipopromo"
"5883";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";""
"5884";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"31";"4,69800";"4,41750";"";""
"5885";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"12";"4,69800";"4,28730";"";""
"5886";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"55";"3,91500";"3,91530";"";""
"5887";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"42";"4,69800";"4,60350";"";""
"5888";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"55";"3,91500";"3,91530";"";""
"5889";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"42";"4,69800";"4,60350";"";""
"5890";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"12";"4,69800";"4,28730";"";""
"5891";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"31";"4,69800";"4,41750";"";""
"5892";"2018-04-29 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";""
"5893";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";""
"5894";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"31";"4,69800";"4,41750";"";""
"5895";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"12";"4,69800";"4,28730";"";""
"5896";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"42";"4,69800";"4,60350";"";""
"5897";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"55";"3,91500";"3,91530";"";""
"5898";"2018-04-28 00:00:00";"2018-05-05 00:00:00";"17";"18";"62";"4,52400";"4,35240";"";""
"5899";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"31";"4,69800";"4,41750";"";""
"5900";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"12";"4,69800";"4,28730";"";""
"5901";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"42";"4,69800";"4,60350";"";""
"5902";"2018-04-28 00:00:00";"2018-05-04 00:00:00";"17";"18";"55";"3,91500";"3,91530";"";""
"5903";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"22";"3,82800";"3,68280";"";""
"5904";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"68";"4,04550";"3,89205";"";""
"5905";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"17";"3,95850";"3,80835";"";""
"5907";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"22";"3,82800";"3,68280";"";""
"5908";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"68";"4,04550";"3,89205";"";""
"5909";"2018-04-06 00:00:00";"2018-04-20 00:00:00";"14";"16";"17";"3,95850";"3,80835";"";""
